sr_no,Country,Continent,Dominant Color,Red,Saffron,Yellow,Green,Blue,LiBlue,Black,White,Distinct Colors,Flag has
95,North Korea,Asia,White,6,0,0,0,6,0,7,79,4,"Stars, Circle Horizontal"
96,Kosovo,Europe,Blue,0,0,5,0,91,0,0,2,3,Stars
97,Kuwait,Asia,Red,29,0,0,29,0,0,16,24,4,Horizontal
98,Kazakhstan,Asia,LiBlue,0,0,8,0,0,91,0,0,2,"Sun, Bird"
99,Laos,Asia,Red,50,0,0,0,41,0,0,8,3,Circle Horizontal
100,Lebanon,Asia,Saffron,0,50,0,6,0,0,0,43,3,Plant Horizontal
101,Saint Lucia,North America,Blue,0,0,6,0,86,0,3,3,4,Triangle
102,Liechtenstein,Europe,Red,50,0,1,0,46,0,1,0,4,
103,Sri Lanka,Asia,Yellow,35,14,37,13,0,0,0,0,4,Animal
104,Liberia,Africa,Red,47,0,0,0,9,0,0,42,3,Stars Horizontal
105,Lesotho,Africa,White,0,0,0,30,29,0,3,36,4,Emblem Horizontal
106,Lithuania,Europe,Red,33,0,33,33,0,0,0,0,3,Horizontal
107,Luxembourg,Europe,Red,33,0,0,0,0,33,0,33,3,Horizontal
108,Latvia,Europe,Red,80,0,0,0,0,0,0,20,2,Horizontal
109,Libya,Africa,Black,25,0,0,25,0,0,48,1,4,Crescent Horizontal
110,Morocco,Africa,Red,95,0,0,4,0,0,0,0,2,Stars
111,Monaco,Europe,Red,50,0,0,0,0,0,0,50,2,Horizontal
112,Moldova,Europe,Red,36,0,27,0,33,0,1,0,4,Bird Vertical
