subject,label,lat,lon,date
http://www.wikidata.org/entity/Q1398069,Battle of Amba Alagi,12.9942,39.5036,7-12-1895
http://www.wikidata.org/entity/Q139808,Battle of the Catalaunian Plains,48.29888889,4.078055556,20-6-451
http://www.wikidata.org/entity/Q1400440,Battle of Velbazhd,42.28555556,22.68972222,28-7-1330
http://www.wikidata.org/entity/Q1402530,Battle of 73 Easting,29.54472222,46.62583333,02-08-1990
http://www.wikidata.org/entity/Q1402751,Battle of Pichincha,-0.219088889,-78.52726111,24-5-1822
http://www.wikidata.org/entity/Q1404199,Battle of the Panaro,44.622975,10.99731389,3-4-1815
http://www.wikidata.org/entity/Q1409225,Fetterman Fight,44.571168,-106.841052,1-1-1866
http://www.wikidata.org/entity/Q1410792,Second Battle of Amba Alagi,12.98333333,39.55,01-09-1939
http://www.wikidata.org/entity/Q1411470,Battle of Vlotho,52.16666667,8.84972222,1-1-1618
http://www.wikidata.org/entity/Q1411508,Battle of Wilkomierz,55.16583333,24.77138889,1-9-1435
http://www.wikidata.org/entity/Q1413158,Battle of Wenden,57.31305556,25.27472222,7-1-1601
http://www.wikidata.org/entity/Q1415925,Battle of Jankau,49.6503,14.7294,6-3-1645
http://www.wikidata.org/entity/Q1416369,Battle of Crysler's Farm,44.94197778,-75.07017222,11-11-1813
http://www.wikidata.org/entity/Q1417205,Battle of Mons,50.45,3.95,23-08-1914
http://www.wikidata.org/entity/Q1417580,Battle of Falkirk Muir,56.001,-3.784,28-1-1746
http://www.wikidata.org/entity/Q1419459,Battle of the Chesapeake,36.9675,-75.53916667,5-9-1781
http://www.wikidata.org/entity/Q1422925,Battle of Val-ès-Dunes,49.11,-0.216944444,10-8-1047
http://www.wikidata.org/entity/Q1424844,Battle of Delium,38.3481,23.6492,1-1--430
http://www.wikidata.org/entity/Q1424959,,47.371,0.880884,28-8-1044
http://www.wikidata.org/entity/Q1425658,Battle of Chacabuco,-32.99305556,-70.68388889,12-2-1817
http://www.wikidata.org/entity/Q1425882,Battle of the Wilderness,38.3164,-77.7597,6-5-1864
http://www.wikidata.org/entity/Q1426037,Battle of Cheat Mountain,38.62138889,-79.88055556,12-4-1861
http://www.wikidata.org/entity/Q1427630,Battle of Adrianople,41.666667,26.566667,14-4-1205
http://www.wikidata.org/entity/Q1428169,Battle of Barnet,51.66222222,-0.2,14-4-1471
http://www.wikidata.org/entity/Q1429757,Battle of Châtillon,48.8,2.29,19-7-1870
http://www.wikidata.org/entity/Q1431266,Battle of Saint Kitts,17.15,-62.58333333,26-1-1782
http://www.wikidata.org/entity/Q1434874,Battle of Sankelmark,54.71740556,9.44395,1-2-1864
http://www.wikidata.org/entity/Q1434879,Battle of Als,54.98333333,9.916666667,1-2-1864
http://www.wikidata.org/entity/Q1436705,Battle of Tuttlingen,47.9852,8.8234,24-11-1643
